state,age,total_citizen_population,percent_registered_citizen,percent_voted_citizen
US,Total,"224,059",70.3,61.4
US,18 to 24,"26,913",55.4,43.0
US,25 to 34,"38,283",64.5,53.1
US,35 to 44,"34,327",69.8,60.2
US,45 to 64,"77,544",74.0,66.6
US,65+,"46,993",78.0,70.9
ALABAMA,Total,"3,651",69.2,57.4
ALABAMA,18 to 24,497,57.0,42.7
ALABAMA,25 to 34,568,69.2,54.5
ALABAMA,35 to 44,548,66.3,55.8
ALABAMA,45 to 64,"1,280",68.8,59.4
ALABAMA,65+,758,79.9,66.9
ALASKA,Total,502,71.3,61.3
ALASKA,18 to 24,65,Nan,Nan
ALASKA,25 to 34,109,64.8,52.7
ALASKA,35 to 44,79,Nan,Nan
ALASKA,45 to 64,174,79.6,70.2
ALASKA,65+,75,Nan,Nan
ARIZONA,Total,"4,585",68.6,60.4
ARIZONA,18 to 24,654,52.8,40.2
ARIZONA,25 to 34,729,63.1,51.7
ARIZONA,35 to 44,663,63.7,52.6
ARIZONA,45 to 64,"1,510",75.7,68.7
ARIZONA,65+,"1,028",75.3,72.2
ARKANSAS,Total,"2,116",68.8,58.7
ARKANSAS,18 to 24,180,51.2,34.5
ARKANSAS,25 to 34,367,61.1,47.1
ARKANSAS,35 to 44,362,67.5,58.3
ARKANSAS,45 to 64,697,72.2,64.8
ARKANSAS,65+,510,76.9,67.3
CALIFORNIA,Total,"24,890",64.7,57.9
CALIFORNIA,18 to 24,"3,308",50.1,42.7
CALIFORNIA,25 to 34,"4,579",61.0,51.9
CALIFORNIA,35 to 44,"3,797",63.5,54.6
CALIFORNIA,45 to 64,"8,252",67.6,62.1
CALIFORNIA,65+,"4,955",73.7,69.2
COLORADO,Total,"3,895",74.3,69.5
COLORADO,18 to 24,361,58.2,49.0
COLORADO,25 to 34,851,70.1,62.9
COLORADO,35 to 44,683,78.2,75.3
COLORADO,45 to 64,"1,243",73.6,69.7
COLORADO,65+,757,84.3,81.1
CONNECTICUT,Total,"2,483",71.0,63.9
CONNECTICUT,18 to 24,225,54.6,43.3
CONNECTICUT,25 to 34,425,65.5,57.5
CONNECTICUT,35 to 44,347,68.1,60.1
CONNECTICUT,45 to 64,943,74.3,67.4
CONNECTICUT,65+,544,78.2,73.6
DELAWARE,Total,669,72.8,62.3
DELAWARE,18 to 24,69,Nan,Nan
DELAWARE,25 to 34,91,Nan,Nan
DELAWARE,35 to 44,102,75.0,61.1
DELAWARE,45 to 64,242,73.2,66.8
DELAWARE,65+,164,77.2,70.5
DISTRICT OF COLUMBIA,Total,512,82.1,74.3
DISTRICT OF COLUMBIA,18 to 24,55,Nan,Nan
DISTRICT OF COLUMBIA,25 to 34,164,79.6,73.3
DISTRICT OF COLUMBIA,35 to 44,80,Nan,Nan
DISTRICT OF COLUMBIA,45 to 64,131,84.2,75.7
DISTRICT OF COLUMBIA,65+,82,Nan,Nan
FLORIDA,Total,"14,428",66.6,59.5
FLORIDA,18 to 24,"1,413",51.5,37.3
FLORIDA,25 to 34,"2,245",60.5,51.6
FLORIDA,35 to 44,"1,985",66.3,57.6
FLORIDA,45 to 64,"5,091",67.7,62.3
FLORIDA,65+,"3,694",74.7,69.8
GEORGIA,Total,"7,048",69.4,60.2
GEORGIA,18 to 24,923,55.4,43.5
GEORGIA,25 to 34,"1,119",63.6,54.4
GEORGIA,35 to 44,"1,211",65.3,55.5
GEORGIA,45 to 64,"2,456",73.3,64.9
GEORGIA,65+,"1,340",80.4,72.4
HAWAII,Total,974,54.4,47.3
HAWAII,18 to 24,108,35.6,21.7
HAWAII,25 to 34,178,42.8,34.3
HAWAII,35 to 44,148,53.6,46.6
HAWAII,45 to 64,333,60.1,54.6
HAWAII,65+,207,65.7,60.3
IDAHO,Total,"1,150",68.7,62.1
IDAHO,18 to 24,153,51.7,44.3
IDAHO,25 to 34,198,58.8,51.4
IDAHO,35 to 44,172,63.6,55.7
IDAHO,45 to 64,357,74.1,69.1
IDAHO,65+,270,81.5,74.7
ILLINOIS,Total,"8,970",74.3,63.8
ILLINOIS,18 to 24,"1,287",62.3,46.8
ILLINOIS,25 to 34,"1,460",66.8,54.5
ILLINOIS,35 to 44,"1,331",74.8,60.9
ILLINOIS,45 to 64,"3,202",79.3,71.0
ILLINOIS,65+,"1,690",80.0,73.2
INDIANA,Total,"4,795",68.8,58.3
INDIANA,18 to 24,587,57.6,43.0
INDIANA,25 to 34,881,62.5,50.2
INDIANA,35 to 44,713,69.0,59.7
INDIANA,45 to 64,"1,682",70.9,62.0
INDIANA,65+,933,77.8,67.7
IOWA,Total,"2,292",72.3,63.4
IOWA,18 to 24,278,51.2,37.6
IOWA,25 to 34,405,75.2,59.5
IOWA,35 to 44,325,70.1,60.2
IOWA,45 to 64,754,72.3,66.2
IOWA,65+,529,82.4,78.0
KANSAS,Total,"2,029",70.9,61.3
KANSAS,18 to 24,254,49.5,35.8
KANSAS,25 to 34,362,60.5,50.8
KANSAS,35 to 44,314,76.4,66.7
KANSAS,45 to 64,682,73.7,65.2
KANSAS,65+,417,84.1,75.2
KENTUCKY,Total,"3,246",69.4,57.0
KENTUCKY,18 to 24,384,64.9,53.9
KENTUCKY,25 to 34,496,67.7,55.1
KENTUCKY,35 to 44,529,68.1,56.7
KENTUCKY,45 to 64,"1,229",69.4,57.2
KENTUCKY,65+,609,74.7,60.2
LOUISIANA,Total,"3,353",73.0,61.6
LOUISIANA,18 to 24,453,62.5,49.8
LOUISIANA,25 to 34,602,70.5,52.8
LOUISIANA,35 to 44,510,68.2,60.4
LOUISIANA,45 to 64,"1,197",76.3,66.9
LOUISIANA,65+,592,80.7,70.2
MAINE,Total,"1,038",80.0,72.7
MAINE,18 to 24,100,62.4,49.4
MAINE,25 to 34,154,70.8,61.8
MAINE,35 to 44,139,76.9,69.6
MAINE,45 to 64,418,84.6,78.2
MAINE,65+,227,87.3,82.0
MARYLAND,Total,"4,158",74.9,65.8
MARYLAND,18 to 24,414,67.4,54.3
MARYLAND,25 to 34,711,71.1,59.7
MARYLAND,35 to 44,668,73.3,63.6
MARYLAND,45 to 64,"1,586",78.4,71.4
MARYLAND,65+,778,76.6,68.1
MASSACHUSETTS,Total,"4,967",73.7,66.7
MASSACHUSETTS,18 to 24,555,53.6,42.8
MASSACHUSETTS,25 to 34,919,67.0,60.4
